supplier_id,name,carbon_footprint,recycling_rate,energy_efficiency,water_usage,waste_production,ISO_14001,Fair_Trade,Organic,B_Corp,Rainforest_Alliance,location,industry
1,Supplier 1,437.0861069626262,92.7188470823419,51.41431335590304,9091.832271069872,324.595506615601,0,0,0,0,1,North America,Food
2,Supplier 2,955.6428757689246,78.1349617520836,78.63846850687011,2471.662717603027,51.228582847573925,0,0,1,1,0,North America,Electronics
3,Supplier 3,758.7945476302646,90.46242061731418,64.1460191484347,1534.4592337031086,89.19806990636074,1,0,1,0,0,North America,Manufacturing
4,Supplier 4,638.792635777333,87.11205128207366,72.88568110241162,4945.582326747874,450.2915523782688,0,1,0,1,1,Africa,Electronics
5,Supplier 5,240.41677639819287,64.84249841083138,90.84049132667418,9857.939495694947,307.15023923319904,0,1,0,0,0,South America,Electronics
6,Supplier 6,240.3950683025824,89.14056762673376,61.218150311699375,2496.347187963854,14.506555292148526,0,1,1,1,0,Africa,Food
7,Supplier 7,152.27525095137952,26.636937653893963,68.46723153660334,6754.141919318197,59.72105600435573,1,0,0,0,0,South America,Manufacturing
8,Supplier 8,879.5585311974417,34.69871468143589,83.9998012344372,7640.034191754304,335.11586686294737,1,0,0,0,0,Africa,Manufacturing
9,Supplier 9,641.0035105688879,23.392046668290355,60.29591744712301,2452.611685524757,12.480176084647157,0,1,1,1,0,Africa,Chemicals
10,Supplier 10,737.2653200164409,44.399774807244825,53.464095942295685,7309.34185125741,88.79594519457434,0,0,0,0,0,Asia,Electronics
11,Supplier 11,118.52604486622221,49.15079672671115,63.03881538111956,3741.053013920607,278.8795567896272,1,0,0,0,0,Africa,Electronics
12,Supplier 12,972.9188669457949,40.35117738304219,57.2549579264302,6359.827722876436,349.0286468694197,1,0,1,1,1,Europe,Textiles
13,Supplier 13,849.1983767203795,82.1553131863947,91.83639435541579,6371.944136532858,329.46101715627424,0,0,0,1,1,Asia,Chemicals
14,Supplier 14,291.10519961044855,46.756499502019196,86.36541708039877,5404.169372340109,119.89196163567429,0,1,0,0,0,Africa,Textiles
15,Supplier 15,263.64247048639055,41.07008822655356,78.50316904296906,993.8687235386421,358.96781846029256,1,1,1,1,1,North America,Textiles
16,Supplier 16,265.06405886809046,60.70220623686863,89.2157265584473,8369.494706333457,126.25205287343204,1,1,0,0,0,Europe,Textiles
17,Supplier 17,373.8180186635839,30.569316873107198,86.16524346046015,3275.7226432201846,169.44585209804117,1,0,1,0,0,Europe,Food
18,Supplier 18,572.280788469014,80.16477355655297,58.395652649871614,1946.533252958557,375.78078850783186,1,0,1,0,1,Europe,Food
19,Supplier 19,488.7505167779042,25.591298275982812,90.165154932049,503.67390139216275,328.3201205331352,0,0,0,1,0,Asia,Textiles
20,Supplier 20,362.1062261782377,94.01652024503879,74.27040088620429,5949.840137563594,426.1194711421472,0,0,0,1,1,Africa,Chemicals
21,Supplier 21,650.6676052501415,77.9183576972493,86.33480698238282,6807.887182238596,332.23031722716826,1,0,0,1,0,Africa,Electronics
22,Supplier 22,225.54447458683765,34.90367611506293,90.32410849655719,264.2195063857759,288.4712156343811,1,1,0,1,1,North America,Chemicals
23,Supplier 23,362.93018368169635,20.414158784270178,64.31015637373388,5169.721277162882,55.90063623576531,1,1,0,0,0,North America,Manufacturing
24,Supplier 24,429.7256589643225,81.15960713411256,54.95233660374545,2342.3081744595856,190.18074349912243,1,0,1,0,1,Europe,Food
25,Supplier 25,510.4629857953323,73.01430078857129,60.257082314387375,6487.2106250535535,139.94916016404548,0,1,0,0,0,North America,Electronics
26,Supplier 26,806.6583652537122,74.67553760307405,69.21985048818154,1826.2276471494154,129.55492525575096,0,1,0,0,1,Asia,Electronics
27,Supplier 27,279.70640394252376,77.84527600144594,86.8106644665122,6940.283607214413,486.7751718286983,1,0,1,0,0,Africa,Manufacturing
28,Supplier 28,562.8109945722504,25.553348880056777,88.73287624653545,3928.6799283753203,202.6178850867126,1,1,0,1,0,Europe,Manufacturing
